50.0,12.2,15.9,12.2,12.5,16.8
47.7,12.4,15.9,12.4,12.5,16.5
51.2,12.4,15.9,12.4,12.6,16.8
51.8,12.2,16.0,12.2,12.5,16.8
47.8,12.2,15.9,12.2,12.5,16.8
47.8,12.4,15.8,12.4,12.6,16.7
51.3,12.3,15.9,12.4,12.5,16.6
51.4,12.4,15.9,12.4,12.6,16.8
51.0,12.4,15.8,12.4,12.6,16.5
51.9,12.4,15.9,12.4,12.6,16.4
51.5,12.2,15.9,12.2,12.5,16.5
51.4,12.4,15.9,12.4,12.5,16.5
51.1,12.4,15.9,12.4,12.6,16.5
51.9,12.2,15.8,12.2,12.4,16.5
47.4,12.2,15.9,12.2,12.4,16.5
47.7,12.4,15.9,12.4,12.6,16.8
49.1,12.4,16.0,12.4,12.6,16.7
47.6,12.3,15.8,12.4,12.6,16.5
47.6,12.4,16.0,12.4,12.6,16.5
47.7,12.3,16.0,12.4,12.5,16.7
